protocol,action_type,kick_time,kick_block_number,kick_hash,debt_auction_id,kick_lot,evt_index,dent_time,dent_block_number,dent_hash,dent_lot,deal_time,deal_block_number,deal_hash
maker,debt_auction,2020/03/19 15:34:08,9.702941e+06,ef51cb9d964e6b263a0d252678e0b8ea70e5658c1398822dbdaeec5f57c7f68b,9,250,64,2020/03/19 18:08:35,9.703619e+06,2beee6c19f18e853dfc5580bde6d1dd2f790eeefefbc78abee19f15702fc0a50,222.22222222222223,2020/03/20 11:27:43,9.708296e+06,00dd8cb851dbc46aff16229e705a9befabc78433adf00627ae42c9e318151ed1
maker,debt_auction,2020/03/19 15:34:08,9.702941e+06,ef51cb9d964e6b263a0d252678e0b8ea70e5658c1398822dbdaeec5f57c7f68b,9,250,64,2020/03/19 18:43:05,9.703806e+06,3d3cbf7fb93c7b50215580c3a0cd3b7ff5b2d6d6ba84900eeb98a5b2aa9a5f8a,215.7497303128371,2020/03/20 11:27:43,9.708296e+06,00dd8cb851dbc46aff16229e705a9befabc78433adf00627ae42c9e318151ed1
maker,debt_auction,2020/03/19 15:34:08,9.702941e+06,ef51cb9d964e6b263a0d252678e0b8ea70e5658c1398822dbdaeec5f57c7f68b,9,250,64,2020/03/19 23:44:26,9.705147e+06,f6d032f5a5ccd7a098cd8bd45120ca5792d6313a3285e074b636e93bc5890d7e,208.33333333333334,2020/03/20 11:27:43,9.708296e+06,00dd8cb851dbc46aff16229e705a9befabc78433adf00627ae42c9e318151ed1
maker,debt_auction,2020/03/19 15:34:08,9.702941e+06,ef51cb9d964e6b263a0d252678e0b8ea70e5658c1398822dbdaeec5f57c7f68b,9,250,64,2020/03/20 04:01:12,9.706253e+06,fca97404d494cb7cff659de77d9f084786bedf5f6d4b1fe53b57813ff03f0d9a,202.26537216828478,2020/03/20 11:27:43,9.708296e+06,00dd8cb851dbc46aff16229e705a9befabc78433adf00627ae42c9e318151ed1
maker,debt_auction,2020/03/19 15:34:08,9.702941e+06,ef51cb9d964e6b263a0d252678e0b8ea70e5658c1398822dbdaeec5f57c7f68b,9,250,64,2020/03/20 05:23:20,9.706642e+06,f237feb1f2ab57d1c87bbf92021fcdce1aee43f64eee63b084c0137e4914e920,188.67924528301887,2020/03/20 11:27:43,9.708296e+06,00dd8cb851dbc46aff16229e705a9befabc78433adf00627ae42c9e318151ed1
maker,debt_auction,2020/03/19 15:40:24,9.702964e+06,5240f107e0f618106863b57884e1dd08059c2efc8fc5ddeea131d8dead9fa6b8,10,250,11,2020/03/19 15:40:24,9.702964e+06,5240f107e0f618106863b57884e1dd08059c2efc8fc5ddeea131d8dead9fa6b8,242,2020/03/20 11:27:43,9.708296e+06,db25e9d7aa851b705384c86701dfcdb3c6fcfa38c68735e6f48a962f0ab3a35e
maker,debt_auction,2020/03/19 15:40:24,9.702964e+06,5240f107e0f618106863b57884e1dd08059c2efc8fc5ddeea131d8dead9fa6b8,10,250,11,2020/03/19 15:48:23,9.703e+06,46a43b9618f762185037ea6a3375099d294b59cd6708f40ecb2adc9adc7a06dc,234.9513,2020/03/20 11:27:43,9.708296e+06,db25e9d7aa851b705384c86701dfcdb3c6fcfa38c68735e6f48a962f0ab3a35e
maker,debt_auction,2020/03/19 15:40:24,9.702964e+06,5240f107e0f618106863b57884e1dd08059c2efc8fc5ddeea131d8dead9fa6b8,10,250,11,2020/03/19 18:08:35,9.703619e+06,2af1fe85a70bf4a131abff13733fac63f6891468651ad0647db2df46c1a916e2,222.22222222222223,2020/03/20 11:27:43,9.708296e+06,db25e9d7aa851b705384c86701dfcdb3c6fcfa38c68735e6f48a962f0ab3a35e
maker,debt_auction,2020/03/19 15:40:24,9.702964e+06,5240f107e0f618106863b57884e1dd08059c2efc8fc5ddeea131d8dead9fa6b8,10,250,11,2020/03/19 18:42:46,9.703802e+06,7fa5ea17a338fe3543a8391311ef15dc3e75ff65c7238f3c0ef774fcc7c01248,215.7497303128371,2020/03/20 11:27:43,9.708296e+06,db25e9d7aa851b705384c86701dfcdb3c6fcfa38c68735e6f48a962f0ab3a35e
maker,debt_auction,2020/03/19 15:40:24,9.702964e+06,5240f107e0f618106863b57884e1dd08059c2efc8fc5ddeea131d8dead9fa6b8,10,250,11,2020/03/19 23:53:22,9.705192e+06,3442e4717a4cd88c19876ab37cacddd197469b1277f09358319876060894e190,208.33333333333334,2020/03/20 11:27:43,9.708296e+06,db25e9d7aa851b705384c86701dfcdb3c6fcfa38c68735e6f48a962f0ab3a35e
