protocol,action_type,kick_time,kick_block,kick_evt_hash,surplus_auction_id,lot_unit_of_dai,tend_time,tend_block_number,bid_call_hash,bid_price_unit_of_mkr,deal_time,deal_block_number,deal_hash
maker,surplus,11/28/2021 04:06:25,1.3700159e+07,4ea266e735ecf736993bed11bc7f97374657329e64e226aac7b38e68cce5aa27,1375,30000,11/28/2021 04:06:25,1.3700159e+07,4ea266e735ecf736993bed11bc7f97374657329e64e226aac7b38e68cce5aa27,9.82483607943806,11/28/2021 07:16:55,1.3701022e+07,7cd76e7063aae56972737f5daee6cede41d3299c326fd9f3b0cbaba6cb3b6fa2
maker,surplus,11/28/2021 05:51:45,1.3700662e+07,1faf28f7e07e23055c35c16a008981409d6620911f22f9c8e0a2b9493422e5b2,1376,30000,11/28/2021 05:51:45,1.3700662e+07,1faf28f7e07e23055c35c16a008981409d6620911f22f9c8e0a2b9493422e5b2,9.79806210630846,11/28/2021 07:16:55,1.3701022e+07,7cd76e7063aae56972737f5daee6cede41d3299c326fd9f3b0cbaba6cb3b6fa2
maker,surplus,11/28/2021 07:35:53,1.3701108e+07,1caca22ff53d31e457e77c3a6657b32670fc624c0b5740fe9aaf08d1ae3a216d,1377,30000,11/28/2021 07:35:53,1.3701108e+07,1caca22ff53d31e457e77c3a6657b32670fc624c0b5740fe9aaf08d1ae3a216d,9.706057422144818,11/28/2021 22:40:42,1.3705045e+07,413bcdfca3cebe97c0b0c067e1aad262ad9427a5e539675b9d70f5e6a3cffa6e
maker,surplus,11/28/2021 07:35:53,1.3701108e+07,1caca22ff53d31e457e77c3a6657b32670fc624c0b5740fe9aaf08d1ae3a216d,1377,30000,11/28/2021 07:38:48,1.3701122e+07,48d1be214302f60df4299cebeb5159d398df6cb46baf53ac4087c5e161f724fc,10.097610232245,11/28/2021 22:40:42,1.3705045e+07,413bcdfca3cebe97c0b0c067e1aad262ad9427a5e539675b9d70f5e6a3cffa6e
maker,surplus,11/28/2021 09:20:46,1.370155e+07,76855ac1663ccc69566857b7153a6e83ab592538934c43bd0273dfe61cb399ee,1378,30000,11/28/2021 09:20:46,1.370155e+07,76855ac1663ccc69566857b7153a6e83ab592538934c43bd0273dfe61cb399ee,9.88486037647472,11/28/2021 22:40:42,1.3705045e+07,413bcdfca3cebe97c0b0c067e1aad262ad9427a5e539675b9d70f5e6a3cffa6e
maker,surplus,11/28/2021 11:08:01,1.3702044e+07,741f3f06c9bd6f7eb4459e1df5d31e93c810f9aa1c9723e2b11d4ca5ef494c72,1379,30000,11/28/2021 11:36:50,1.3702158e+07,7de604810facc61c182b0fa8692cab68f1fcae0e4bc455eefda2c052cb624564,10.0160256410256,11/28/2021 22:40:42,1.3705045e+07,413bcdfca3cebe97c0b0c067e1aad262ad9427a5e539675b9d70f5e6a3cffa6e
maker,surplus,11/28/2021 11:08:01,1.3702044e+07,741f3f06c9bd6f7eb4459e1df5d31e93c810f9aa1c9723e2b11d4ca5ef494c72,1379,30000,11/28/2021 11:08:01,1.3702044e+07,741f3f06c9bd6f7eb4459e1df5d31e93c810f9aa1c9723e2b11d4ca5ef494c72,9.630505932180823,11/28/2021 22:40:42,1.3705045e+07,413bcdfca3cebe97c0b0c067e1aad262ad9427a5e539675b9d70f5e6a3cffa6e
maker,surplus,11/28/2021 12:50:54,1.3702484e+07,8835dce8a8c7361de8c6f5c69c7b6288fa500aa6f0fcca0b8af90877310bf939,1380,30000,11/28/2021 12:50:54,1.3702484e+07,8835dce8a8c7361de8c6f5c69c7b6288fa500aa6f0fcca0b8af90877310bf939,9.78240207800808,11/28/2021 22:40:42,1.3705045e+07,413bcdfca3cebe97c0b0c067e1aad262ad9427a5e539675b9d70f5e6a3cffa6e
maker,surplus,11/28/2021 14:37:42,1.3702945e+07,2659d8c5e3608762fbe0302b5b9cf20d66428d85915ead56dd85e576f2cc1b99,1381,30000,11/28/2021 14:37:42,1.3702945e+07,2659d8c5e3608762fbe0302b5b9cf20d66428d85915ead56dd85e576f2cc1b99,9.763595597475788,11/28/2021 15:07:58,1.3703092e+07,85a0cf893c65e02225660d5e79aae5b3572b16a640aa1e6e0486e88307b317b1
maker,surplus,11/28/2021 16:25:35,1.3703414e+07,431f3c3df8307fea95a2007ec6efe10b6d3285945f100dbf1293fcec41a59c17,1382,30000,11/28/2021 16:25:35,1.3703414e+07,431f3c3df8307fea95a2007ec6efe10b6d3285945f100dbf1293fcec41a59c17,9.84447093593649,11/28/2021 22:40:42,1.3705045e+07,413bcdfca3cebe97c0b0c067e1aad262ad9427a5e539675b9d70f5e6a3cffa6e
